strikePrice,expiryDate,PE,CE
40500,25-Sep-2025,"{'strikePrice': 40500, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025PE40500.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 6615, 'totalSellQuantity': 0, 'bidQty': 910, 'bidprice': 2.15, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 56932.95}","{'strikePrice': 40500, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025CE40500.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 1785, 'totalSellQuantity': 1785, 'bidQty': 595, 'bidprice': 15607.85, 'askQty': 595, 'askPrice': 18197.85, 'underlyingValue': 56932.95}"
42000,25-Sep-2025,"{'strikePrice': 42000, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025PE42000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 6965, 'totalSellQuantity': 315, 'bidQty': 350, 'bidprice': 3.15, 'askQty': 315, 'askPrice': 20, 'underlyingValue': 56932.95}","{'strikePrice': 42000, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025CE42000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 1785, 'totalSellQuantity': 1785, 'bidQty': 595, 'bidprice': 14248.25, 'askQty': 595, 'askPrice': 15902.85, 'underlyingValue': 56932.95}"
43500,25-Sep-2025,"{'strikePrice': 43500, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025PE43500.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 7210, 'totalSellQuantity': 0, 'bidQty': 595, 'bidprice': 4.25, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 56932.95}","{'strikePrice': 43500, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025CE43500.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 1785, 'totalSellQuantity': 1785, 'bidQty': 595, 'bidprice': 12788.55, 'askQty': 595, 'askPrice': 14394.35, 'underlyingValue': 56932.95}"
43500,24-Dec-2025,"{'strikePrice': 43500, 'expiryDate': '24-Dec-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY24-12-2025PE43500.00', 'openInterest': 13.857142857142858, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 735, 'totalSellQuantity': 0, 'bidQty': 35, 'bidprice': 15, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 56932.95}",
45000,25-Sep-2025,"{'strikePrice': 45000, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025PE45000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 7210, 'totalSellQuantity': 420, 'bidQty': 595, 'bidprice': 6.75, 'askQty': 350, 'askPrice': 20, 'underlyingValue': 56932.95}","{'strikePrice': 45000, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025CE45000.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 1785, 'totalSellQuantity': 1785, 'bidQty': 595, 'bidprice': 11362.35, 'askQty': 595, 'askPrice': 12848.5, 'underlyingValue': 56932.95}"
46000,31-Jul-2025,"{'strikePrice': 46000, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025PE46000.00', 'openInterest': 18968, 'changeinOpenInterest': -1777, 'pchangeinOpenInterest': -8.56591949867438, 'totalTradedVolume': 15187, 'impliedVolatility': 46.06, 'lastPrice': 2.7, 'change': -1.0499999999999998, 'pChange': -27.999999999999996, 'totalBuyQuantity': 137375, 'totalSellQuantity': 46690, 'bidQty': 490, 'bidprice': 2.7, 'askQty': 210, 'askPrice': 2.75, 'underlyingValue': 56932.95}","{'strikePrice': 46000, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025CE46000.00', 'openInterest': 2050, 'changeinOpenInterest': -17, 'pchangeinOpenInterest': -0.822447992259313, 'totalTradedVolume': 29, 'impliedVolatility': 0, 'lastPrice': 10870, 'change': 492.2000000000007, 'pChange': 4.742816396538773, 'totalBuyQuantity': 3570, 'totalSellQuantity': 3080, 'bidQty': 210, 'bidprice': 10915.45, 'askQty': 35, 'askPrice': 11002.75, 'underlyingValue': 56932.95}"
46500,31-Jul-2025,"{'strikePrice': 46500, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025PE46500.00', 'openInterest': 713, 'changeinOpenInterest': 93, 'pchangeinOpenInterest': 15, 'totalTradedVolume': 2445, 'impliedVolatility': 43.86, 'lastPrice': 2.55, 'change': -1.2000000000000002, 'pChange': -32.00000000000001, 'totalBuyQuantity': 27160, 'totalSellQuantity': 20860, 'bidQty': 245, 'bidprice': 2.55, 'askQty': 210, 'askPrice': 2.6, 'underlyingValue': 56932.95}","{'strikePrice': 46500, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025CE46500.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 3150, 'totalSellQuantity': 3150, 'bidQty': 35, 'bidprice': 10328.45, 'askQty': 35, 'askPrice': 10499.45, 'underlyingValue': 56932.95}"
46500,25-Sep-2025,"{'strikePrice': 46500, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025PE46500.00', 'openInterest': 24, 'changeinOpenInterest': 2, 'pchangeinOpenInterest': 9.090909090909092, 'totalTradedVolume': 8, 'impliedVolatility': 23.45, 'lastPrice': 24, 'change': -1, 'pChange': -4, 'totalBuyQuantity': 6755, 'totalSellQuantity': 2870, 'bidQty': 35, 'bidprice': 21.25, 'askQty': 70, 'askPrice': 24.9, 'underlyingValue': 56932.95}","{'strikePrice': 46500, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025CE46500.00', 'openInterest': 5, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 1785, 'totalSellQuantity': 1785, 'bidQty': 595, 'bidprice': 9945, 'askQty': 595, 'askPrice': 11196.3, 'underlyingValue': 56932.95}"
47000,31-Jul-2025,"{'strikePrice': 47000, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025PE47000.00', 'openInterest': 849, 'changeinOpenInterest': 32, 'pchangeinOpenInterest': 3.916768665850673, 'totalTradedVolume': 2863, 'impliedVolatility': 41.61, 'lastPrice': 2.45, 'change': -1.25, 'pChange': -33.78378378378378, 'totalBuyQuantity': 25830, 'totalSellQuantity': 22015, 'bidQty': 245, 'bidprice': 2.45, 'askQty': 35, 'askPrice': 2.85, 'underlyingValue': 56932.95}","{'strikePrice': 47000, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025CE47000.00', 'openInterest': 247, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 3150, 'totalSellQuantity': 3150, 'bidQty': 70, 'bidprice': 9889.85, 'askQty': 35, 'askPrice': 9998.15, 'underlyingValue': 56932.95}"
47500,31-Jul-2025,"{'strikePrice': 47500, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025PE47500.00', 'openInterest': 384, 'changeinOpenInterest': 78, 'pchangeinOpenInterest': 25.49019607843137, 'totalTradedVolume': 697, 'impliedVolatility': 39.9, 'lastPrice': 2.95, 'change': -1, 'pChange': -25.316455696202528, 'totalBuyQuantity': 21280, 'totalSellQuantity': 17605, 'bidQty': 35, 'bidprice': 2.65, 'askQty': 35, 'askPrice': 3.35, 'underlyingValue': 56932.95}","{'strikePrice': 47500, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025CE47500.00', 'openInterest': 1, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 3745, 'totalSellQuantity': 3150, 'bidQty': 35, 'bidprice': 9374.75, 'askQty': 35, 'askPrice': 9501.5, 'underlyingValue': 56932.95}"
