strikePrice,expiryDate,identifier_CE,identifier_PE,CE_OI,PE_OI,CE_TotVol,PE_TotVol,CE_LTP,PE_LTP
55600,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55600.00,OPTIDXBANKNIFTY31-07-2025PE55600.00,206,3363.0,62,14720,1548.6,30.65
55600,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55600.00,OPTIDXBANKNIFTY28-08-2025PE55600.00,1,252.0,0,331,0.0,208.0
55700,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55700.00,OPTIDXBANKNIFTY31-07-2025PE55700.00,121,4598.0,40,26841,1465.55,36.0
55800,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55800.00,OPTIDXBANKNIFTY31-07-2025PE55800.00,339,5434.0,53,31004,1385.0,40.15
55800,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55800.00,OPTIDXBANKNIFTY28-08-2025PE55800.00,69,357.0,0,398,0.0,241.2
55900,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55900.00,OPTIDXBANKNIFTY31-07-2025PE55900.00,233,4579.0,100,27162,1260.4,46.6
55900,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55900.00,OPTIDXBANKNIFTY28-08-2025PE55900.00,43,0.0,40,0,1562.0,0.0
56000,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56000.00,OPTIDXBANKNIFTY31-07-2025PE56000.00,10218,38557.0,8727,124918,1165.35,56.2
56000,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56000.00,OPTIDXBANKNIFTY28-08-2025PE56000.00,2199,11327.0,1177,9046,1550.0,284.65
56000,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE56000.00,OPTIDXBANKNIFTY25-09-2025PE56000.00,323,1053.0,35,246,2036.35,490.0
56100,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56100.00,OPTIDXBANKNIFTY31-07-2025PE56100.00,617,3685.0,324,26058,1077.85,64.2
56100,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56100.00,OPTIDXBANKNIFTY28-08-2025PE56100.00,83,243.0,51,310,1483.25,302.65
56200,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56200.00,OPTIDXBANKNIFTY31-07-2025PE56200.00,1144,5903.0,1809,43419,985.0,73.0
56200,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56200.00,OPTIDXBANKNIFTY28-08-2025PE56200.00,81,376.0,52,375,1394.55,327.4
56300,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56300.00,OPTIDXBANKNIFTY31-07-2025PE56300.00,1748,8935.0,1719,40190,892.0,87.85
56300,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56300.00,OPTIDXBANKNIFTY28-08-2025PE56300.00,138,325.0,61,341,1339.05,352.2
56400,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56400.00,OPTIDXBANKNIFTY31-07-2025PE56400.00,2300,7794.0,2824,45462,810.85,101.1
56400,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56400.00,OPTIDXBANKNIFTY28-08-2025PE56400.00,207,249.0,231,219,1252.0,382.4
56400,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE56400.00,OPTIDXBANKNIFTY25-09-2025PE56400.00,0,0.0,1,0,1760.35,0.0
