strikePrice,expiryDate,CE_OI,PE_OI,CE_TotVol,PE_TotVol
40500,25-Sep-2025,0.0,0.0,0,0
42000,25-Sep-2025,0.0,0.0,0,0
43500,25-Sep-2025,0.0,0.0,0,0
43500,24-Dec-2025,0.0,13.857142857142858,0,0
45000,25-Sep-2025,0.0,0.0,0,0
46000,31-Jul-2025,2027.0,17616.0,26,5355
46500,31-Jul-2025,0.0,671.0,0,1143
46500,25-Sep-2025,5.0,24.0,0,2
47000,31-Jul-2025,248.0,782.0,2,874
47500,31-Jul-2025,1.0,278.0,0,418
48000,31-Jul-2025,407.0,4059.0,4,2090
48000,28-Aug-2025,54.0,521.0,39,80
48000,25-Sep-2025,157.71428571428572,2088.714285714286,11,87
48500,31-Jul-2025,34.0,1312.0,1,624
48500,28-Aug-2025,0.0,47.0,0,10
48600,31-Jul-2025,0.0,80.0,0,29
48700,31-Jul-2025,0.0,99.0,0,40
48800,31-Jul-2025,0.0,164.0,0,447
48900,31-Jul-2025,0.0,90.0,0,98
49000,31-Jul-2025,947.0,3052.0,19,1073
49000,28-Aug-2025,1.0,998.0,1,76
49000,25-Sep-2025,0.0,0.0,0,0
49100,31-Jul-2025,0.0,116.0,0,11
49200,31-Jul-2025,0.0,73.0,0,28
49300,31-Jul-2025,0.0,35.0,0,3
49400,31-Jul-2025,0.0,59.0,0,6
49500,31-Jul-2025,153.0,1277.0,15,639
49500,28-Aug-2025,0.0,110.0,0,15
49500,25-Sep-2025,0.14285714285714285,1704.4285714285713,0,241
49500,24-Dec-2025,0.0,0.0,0,0
49500,26-Mar-2026,0.0,0.0,0,0
49500,30-Jun-2026,0.0,0.0,0,0
49600,31-Jul-2025,0.0,144.0,0,57
49700,31-Jul-2025,0.0,44.0,0,54
49800,31-Jul-2025,0.0,41.0,0,28
49900,31-Jul-2025,0.0,48.0,0,0
50000,31-Jul-2025,3134.0,7095.0,56,4749
50000,28-Aug-2025,416.0,1603.0,93,593
50000,25-Sep-2025,101.0,531.0,13,62
50100,31-Jul-2025,0.0,59.0,0,10
50200,31-Jul-2025,1.0,144.0,0,43
50300,31-Jul-2025,1.0,39.0,0,6
50400,31-Jul-2025,10.0,1990.0,0,179
50500,31-Jul-2025,205.0,1573.0,9,1567
50500,28-Aug-2025,10.0,146.0,0,262
50500,25-Sep-2025,0.0,0.0,0,0
50600,31-Jul-2025,2.0,85.0,0,28
50600,28-Aug-2025,0.0,1.0,0,0
50700,31-Jul-2025,10.0,114.0,0,24
50700,28-Aug-2025,0.0,1.0,0,0
50800,31-Jul-2025,9.0,535.0,0,304
50800,28-Aug-2025,0.0,0.0,0,0
50900,31-Jul-2025,9.0,155.0,0,311
50900,28-Aug-2025,0.0,1.0,0,0
51000,31-Jul-2025,1951.0,7210.0,18,4505
51000,28-Aug-2025,70.0,2624.0,13,416
51000,25-Sep-2025,44.142857142857146,1972.2857142857142,3,32
51000,24-Dec-2025,71.85714285714286,498.42857142857144,0,76
51000,26-Mar-2026,0.0,0.0,0,0
51000,30-Jun-2026,0.0,0.0,0,0
