strikePrice,expiryDate,PE,CE
12000,31-Dec-2026,"{'strikePrice': 12000, 'expiryDate': '31-Dec-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-12-2026PE12000.00', 'openInterest': 13.666666666666666, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4425, 'totalSellQuantity': 75, 'bidQty': 675, 'bidprice': 20.1, 'askQty': 75, 'askPrice': 30, 'underlyingValue': 25095.65}",
13000,24-Dec-2025,"{'strikePrice': 13000, 'expiryDate': '24-Dec-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-12-2025PE13000.00', 'openInterest': 92.66666666666667, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 32475, 'totalSellQuantity': 1050, 'bidQty': 75, 'bidprice': 3.65, 'askQty': 525, 'askPrice': 6.6, 'underlyingValue': 25095.65}",
13000,31-Dec-2026,"{'strikePrice': 13000, 'expiryDate': '31-Dec-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-12-2026PE13000.00', 'openInterest': 27, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 3675, 'totalSellQuantity': 0, 'bidQty': 75, 'bidprice': 20.05, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 25095.65}",
14000,25-Jun-2026,"{'strikePrice': 14000, 'expiryDate': '25-Jun-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-06-2026PE14000.00', 'openInterest': 16.333333333333332, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 3750, 'totalSellQuantity': 0, 'bidQty': 150, 'bidprice': 20, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 25095.65}",
14000,31-Dec-2026,"{'strikePrice': 14000, 'expiryDate': '31-Dec-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-12-2026PE14000.00', 'openInterest': 28.666666666666668, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 375, 'totalSellQuantity': 0, 'bidQty': 300, 'bidprice': 21.5, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 25095.65}",
15000,24-Dec-2025,"{'strikePrice': 15000, 'expiryDate': '24-Dec-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-12-2025PE15000.00', 'openInterest': 78.66666666666667, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 20550, 'totalSellQuantity': 225, 'bidQty': 1800, 'bidprice': 6.2, 'askQty': 225, 'askPrice': 11.5, 'underlyingValue': 25095.65}",
15000,25-Jun-2026,"{'strikePrice': 15000, 'expiryDate': '25-Jun-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-06-2026PE15000.00', 'openInterest': 13.333333333333334, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 3750, 'totalSellQuantity': 0, 'bidQty': 150, 'bidprice': 20.05, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 25095.65}",
15000,31-Dec-2026,"{'strikePrice': 15000, 'expiryDate': '31-Dec-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-12-2026PE15000.00', 'openInterest': 18.666666666666668, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4200, 'totalSellQuantity': 0, 'bidQty': 600, 'bidprice': 21.3, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 25095.65}",
16000,24-Dec-2025,"{'strikePrice': 16000, 'expiryDate': '24-Dec-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-12-2025PE16000.00', 'openInterest': 78.33333333333333, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 28125, 'totalSellQuantity': 600, 'bidQty': 150, 'bidprice': 10.3, 'askQty': 600, 'askPrice': 14, 'underlyingValue': 25095.65}",
16000,25-Jun-2026,"{'strikePrice': 16000, 'expiryDate': '25-Jun-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-06-2026PE16000.00', 'openInterest': 30.333333333333332, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4200, 'totalSellQuantity': 0, 'bidQty': 600, 'bidprice': 20.6, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 25095.65}",
