strikePrice,expiryDate,CE_OI,PE_OI,CE_TotVol,PE_TotVol
12000,25-Jun-2026,0.0,4.333333333333333,0,0
12000,31-Dec-2026,0.0,13.666666666666666,0,0
13000,24-Dec-2025,0.0,92.66666666666667,0,0
13000,25-Jun-2026,0.0,2.6666666666666665,0,0
13000,31-Dec-2026,0.0,27.0,0,0
14000,25-Jun-2026,0.0,16.333333333333332,0,0
14000,31-Dec-2026,0.0,28.666666666666668,0,0
15000,24-Dec-2025,0.0,78.66666666666667,0,0
15000,25-Jun-2026,0.0,13.333333333333334,0,0
15000,31-Dec-2026,0.0,18.666666666666668,0,0
15000,30-Dec-2027,0.0,6.333333333333333,0,0
16000,24-Dec-2025,0.0,76.33333333333333,0,3
16000,25-Jun-2026,0.0,30.333333333333332,0,0
16000,31-Dec-2026,0.0,32.333333333333336,0,0
16500,24-Dec-2025,0.0,41.0,0,0
17000,25-Sep-2025,2262.0,583.0,0,7
17000,24-Dec-2025,9.333333333333334,560.6666666666666,0,0
17000,31-Dec-2026,0.0,38.0,0,0
17000,30-Dec-2027,0.0,189.33333333333334,0,0
18000,25-Sep-2025,255.0,325.0,0,4
18000,24-Dec-2025,275.0,1421.0,6,41
18000,31-Dec-2026,0.0,79.33333333333333,0,0
18000,24-Jun-2027,0.0,0.3333333333333333,0,0
18000,30-Dec-2027,0.0,162.66666666666666,0,0
18000,28-Dec-2028,0.0,1.0,0,0
19000,25-Sep-2025,50.0,2145.0,0,30
19000,24-Dec-2025,98.66666666666667,2075.6666666666665,0,29
19000,25-Jun-2026,0.0,3.3333333333333335,0,0
19000,31-Dec-2026,0.0,23.0,0,3
19000,24-Jun-2027,0.0,8.0,0,0
19000,30-Dec-2027,0.0,7.0,0,0
19500,24-Dec-2025,15.333333333333334,0.0,0,0
20000,25-Sep-2025,1420.0,6653.0,26,46
20000,24-Dec-2025,2589.6666666666665,9912.0,3,242
20000,26-Mar-2026,0.0,0.0,0,0
20000,25-Jun-2026,0.0,0.0,0,0
20000,31-Dec-2026,0.0,164.33333333333334,0,0
20000,24-Jun-2027,0.0,0.0,0,0
20000,30-Dec-2027,0.0,52.666666666666664,0,0
20000,29-Jun-2028,0.0,0.0,0,0
20000,28-Dec-2028,0.0,14.666666666666666,0,0
20000,28-Jun-2029,0.0,0.0,0,0
20000,27-Dec-2029,0.0,0.0,0,0
20000,25-Jun-2030,0.0,0.0,0,0
21000,25-Sep-2025,5684.0,9800.0,2,388
21000,24-Dec-2025,2373.3333333333335,10946.333333333334,120,541
21000,26-Mar-2026,0.0,79.0,0,18
21000,25-Jun-2026,0.0,4712.0,0,2
21000,31-Dec-2026,0.0,132.0,0,8
21000,24-Jun-2027,0.0,4.666666666666667,0,0
21000,30-Dec-2027,0.0,5.666666666666667,0,0
21000,29-Jun-2028,0.0,0.0,0,0
21000,28-Dec-2028,0.0,16.666666666666668,0,0
21000,28-Jun-2029,0.0,0.0,0,0
21000,27-Dec-2029,0.0,0.0,0,0
21000,25-Jun-2030,0.0,0.0,0,0
22000,25-Sep-2025,2220.0,20099.0,17,907
22000,24-Dec-2025,5964.666666666667,17983.0,17,1146
22000,26-Mar-2026,0.0,0.0,0,0
22000,25-Jun-2026,0.0,33.0,0,0
22000,31-Dec-2026,7.0,203.66666666666666,0,30
22000,24-Jun-2027,0.0,0.0,0,0
22000,30-Dec-2027,0.0,3.3333333333333335,0,0
22000,29-Jun-2028,0.0,1.3333333333333333,0,0
22000,28-Dec-2028,0.0,2.0,0,0
22000,28-Jun-2029,0.0,0.0,0,0
22000,27-Dec-2029,0.0,0.0,0,0
22000,25-Jun-2030,0.0,0.0,0,0
22250,31-Jul-2025,277.0,8252.0,0,2018
22300,31-Jul-2025,386.0,9809.0,0,1722
22350,31-Jul-2025,58.0,111.0,0,70
22400,31-Jul-2025,150.0,1373.0,0,827
22450,31-Jul-2025,9.0,117.0,0,91
22500,31-Jul-2025,11087.0,26124.0,137,3640
22550,31-Jul-2025,15.0,86.0,0,164
22600,31-Jul-2025,67.0,478.0,0,1519
22650,31-Jul-2025,14.0,98.0,0,95
22700,31-Jul-2025,44.0,481.0,0,200
22750,31-Jul-2025,18.0,112.0,0,185
22800,31-Jul-2025,113.0,1201.0,1,2912
22800,28-Aug-2025,5.0,2685.0,3,569
22850,31-Jul-2025,15.0,88.0,0,35
22850,28-Aug-2025,1.0,46.0,0,0
22900,31-Jul-2025,52.0,1567.0,0,725
22900,28-Aug-2025,1.0,411.0,0,45
22950,31-Jul-2025,20.0,146.0,0,197
22950,28-Aug-2025,1.0,35.0,0,0
23000,31-Jul-2025,8451.0,28238.0,418,8389
23000,28-Aug-2025,1087.0,10019.0,432,3881
23000,25-Sep-2025,3467.0,18992.0,133,4623
23000,24-Dec-2025,6058.666666666667,22426.333333333332,81,2860
23000,26-Mar-2026,0.0,168.0,0,36
23000,25-Jun-2026,0.0,162.33333333333334,0,0
23000,31-Dec-2026,64.0,283.6666666666667,0,36
23000,24-Jun-2027,0.0,0.0,0,0
23000,30-Dec-2027,0.0,27.0,0,0
23000,29-Jun-2028,0.0,0.0,0,0
23000,28-Dec-2028,0.0,39.0,0,0
23000,28-Jun-2029,0.0,0.0,0,0
23000,27-Dec-2029,0.0,25.0,0,0
23000,25-Jun-2030,0.0,0.0,0,0
23050,24-Jul-2025,6.0,63846.0,1,106419
23050,31-Jul-2025,19.0,212.0,0,231
23050,28-Aug-2025,1.0,61.0,0,1
23100,24-Jul-2025,123.0,40752.0,5,55238
23100,31-Jul-2025,105.0,1369.0,0,1384
23100,28-Aug-2025,1.0,261.0,0,12
23150,24-Jul-2025,2.0,2649.0,0,9009
23150,31-Jul-2025,19.0,239.0,0,235
23150,28-Aug-2025,3.0,30.0,0,0
23200,24-Jul-2025,4.0,5436.0,0,10594
23200,31-Jul-2025,530.0,2175.0,2,2427
