strikePrice,expiryDate,identifier_CE,identifier_PE,CE_OI,PE_OI,CE_TotVol,PE_TotVol,CE_LTP,PE_LTP
23200,07-Aug-2025,OPTIDXNIFTY07-08-2025CE23200.00,OPTIDXNIFTY07-08-2025PE23200.00,21.0,15365.0,1,19055,1470.0,1.5
23200,14-Aug-2025,OPTIDXNIFTY14-08-2025CE23200.00,OPTIDXNIFTY14-08-2025PE23200.00,2.0,3937.0,0,847,0.0,4.55
23200,21-Aug-2025,OPTIDXNIFTY21-08-2025CE23200.00,OPTIDXNIFTY21-08-2025PE23200.00,0.0,373.0,0,159,0.0,10.0
23200,28-Aug-2025,OPTIDXNIFTY28-08-2025CE23200.00,OPTIDXNIFTY28-08-2025PE23200.00,65.0,5599.0,0,835,0.0,16.3
23200,30-Sep-2025,OPTIDXNIFTY30-09-2025CE23200.00,OPTIDXNIFTY30-09-2025PE23200.00,18.0,2759.0,0,22,0.0,59.55
23200,28-Oct-2025,OPTIDXNIFTY28-10-2025CE23200.00,OPTIDXNIFTY28-10-2025PE23200.00,0.0,167.0,0,20,0.0,93.8
23250,07-Aug-2025,OPTIDXNIFTY07-08-2025CE23250.00,OPTIDXNIFTY07-08-2025PE23250.00,5.0,3160.0,0,3620,0.0,1.5
23250,14-Aug-2025,OPTIDXNIFTY14-08-2025CE23250.00,OPTIDXNIFTY14-08-2025PE23250.00,1.0,283.0,0,488,0.0,5.0
23250,28-Aug-2025,OPTIDXNIFTY28-08-2025CE23250.00,OPTIDXNIFTY28-08-2025PE23250.00,0.0,388.0,0,19,0.0,17.55
23300,07-Aug-2025,OPTIDXNIFTY07-08-2025CE23300.00,OPTIDXNIFTY07-08-2025PE23300.00,21.0,20216.0,0,10941,0.0,1.5
23300,14-Aug-2025,OPTIDXNIFTY14-08-2025CE23300.00,OPTIDXNIFTY14-08-2025PE23300.00,1.0,1550.0,0,787,0.0,5.55
23300,21-Aug-2025,OPTIDXNIFTY21-08-2025CE23300.00,OPTIDXNIFTY21-08-2025PE23300.00,0.0,32.0,0,36,0.0,12.0
23300,28-Aug-2025,OPTIDXNIFTY28-08-2025CE23300.00,OPTIDXNIFTY28-08-2025PE23300.00,33.0,3597.0,0,462,0.0,19.15
23300,30-Sep-2025,OPTIDXNIFTY30-09-2025CE23300.00,OPTIDXNIFTY30-09-2025PE23300.00,0.0,746.0,0,103,0.0,64.6
23300,28-Oct-2025,OPTIDXNIFTY28-10-2025CE23300.00,OPTIDXNIFTY28-10-2025PE23300.00,0.0,120.0,0,5,0.0,101.65
23350,07-Aug-2025,OPTIDXNIFTY07-08-2025CE23350.00,OPTIDXNIFTY07-08-2025PE23350.00,3.0,4990.0,1,5178,1369.2,1.6
23350,14-Aug-2025,OPTIDXNIFTY14-08-2025CE23350.00,OPTIDXNIFTY14-08-2025PE23350.00,4.0,373.0,0,139,0.0,5.65
23350,28-Aug-2025,OPTIDXNIFTY28-08-2025CE23350.00,OPTIDXNIFTY28-08-2025PE23350.00,3.0,329.0,0,36,0.0,20.6
23350,30-Sep-2025,OPTIDXNIFTY30-09-2025CE23350.00,OPTIDXNIFTY30-09-2025PE23350.00,0.0,594.0,0,16,0.0,72.55
23400,07-Aug-2025,OPTIDXNIFTY07-08-2025CE23400.00,OPTIDXNIFTY07-08-2025PE23400.00,49.0,39573.0,0,35374,0.0,1.6
23400,14-Aug-2025,OPTIDXNIFTY14-08-2025CE23400.00,OPTIDXNIFTY14-08-2025PE23400.00,4.0,3091.0,0,1104,0.0,6.6
23400,21-Aug-2025,OPTIDXNIFTY21-08-2025CE23400.00,OPTIDXNIFTY21-08-2025PE23400.00,0.0,118.0,0,5,0.0,14.2
23400,28-Aug-2025,OPTIDXNIFTY28-08-2025CE23400.00,OPTIDXNIFTY28-08-2025PE23400.00,96.0,3475.0,0,447,0.0,23.0
23400,30-Sep-2025,OPTIDXNIFTY30-09-2025CE23400.00,OPTIDXNIFTY30-09-2025PE23400.00,3.0,999.0,0,23,0.0,74.2
23400,28-Oct-2025,OPTIDXNIFTY28-10-2025CE23400.00,OPTIDXNIFTY28-10-2025PE23400.00,0.0,186.0,0,42,0.0,113.5
23450,07-Aug-2025,OPTIDXNIFTY07-08-2025CE23450.00,OPTIDXNIFTY07-08-2025PE23450.00,7.0,8128.0,0,7979,0.0,1.75
23450,14-Aug-2025,OPTIDXNIFTY14-08-2025CE23450.00,OPTIDXNIFTY14-08-2025PE23450.00,1.0,288.0,0,519,0.0,7.4
23450,21-Aug-2025,OPTIDXNIFTY21-08-2025CE23450.00,OPTIDXNIFTY21-08-2025PE23450.00,1.0,12.0,1,25,1309.55,15.1
23450,28-Aug-2025,OPTIDXNIFTY28-08-2025CE23450.00,OPTIDXNIFTY28-08-2025PE23450.00,14.0,393.0,0,17,0.0,23.85
23450,30-Sep-2025,OPTIDXNIFTY30-09-2025CE23450.00,OPTIDXNIFTY30-09-2025PE23450.00,0.0,260.0,0,15,0.0,79.3
23500,07-Aug-2025,OPTIDXNIFTY07-08-2025CE23500.00,OPTIDXNIFTY07-08-2025PE23500.00,673.0,121261.0,17,66389,1170.0,1.9
23500,14-Aug-2025,OPTIDXNIFTY14-08-2025CE23500.00,OPTIDXNIFTY14-08-2025PE23500.00,262.0,9583.0,16,5213,1170.0,8.15
23500,21-Aug-2025,OPTIDXNIFTY21-08-2025CE23500.00,OPTIDXNIFTY21-08-2025PE23500.00,4.0,370.0,0,86,0.0,16.9
23500,28-Aug-2025,OPTIDXNIFTY28-08-2025CE23500.00,OPTIDXNIFTY28-08-2025PE23500.00,5567.0,21271.0,43,1904,1240.0,27.75
23500,30-Sep-2025,OPTIDXNIFTY30-09-2025CE23500.00,OPTIDXNIFTY30-09-2025PE23500.00,251.0,9684.0,6,1072,1427.0,88.0
23500,28-Oct-2025,OPTIDXNIFTY28-10-2025CE23500.00,OPTIDXNIFTY28-10-2025PE23500.00,0.0,829.0,0,524,0.0,132.0
